address,code,Latitude,Longitude
Мурино Парковая ул 8 п1,Код: 1в58,60.052021,30.456553
Мурино Парковая ул 8 п2,Код: 2в33 2в28 1в58,60.052155,30.456787
Мурино Петровский бульвар 2к1 п5,Код: #4230,60.056741,30.437545
Мурино Петровский бульвар 3к1 п1,Код: #1472,60.055690,30.437096
Мурино Петровский бульвар 7 п14,Код: в9876в,60.055758,30.433323
Мурино Привокзальная пл 1Ак2 п1,Код: 2в229,60.050188,30.446546
Мурино Привокзальная пл 3к1,Арка: 10243 Код: 243,60.052452,30.446753
Мурино Привокзальная пл 3к1 п1,Код: 1в0234,60.052299,30.446762
Мурино Привокзальная пл 3к1 п3,Код: 1в363,60.052425,30.447328
Мурино Привокзальная пл 3к2 п1,Арка: 217 Код: 20217,60.052083,30.447947
Мурино Привокзальная пл 3к3 п1,Код: 30373,60.051724,30.449079
Мурино Привокзальная пл 5Ак1 п3,Код: 1в188 в1в224,60.051630,30.446780
Мурино Ручьевский пр 2,Арка: 08136,60.064825,30.444255
Мурино Ручьевский пр 2 п2,Арка: 08210,60.064937,30.444219
Мурино Ручьевский пр 4/26,Арка: 09100 Код: 09449 09198 09317,60.065144,30.442836
Мурино Ручьевский пр 4/26 п1,Арка: 09100 Код: 9*284,60.064946,30.442674
Мурино Скандинавский проезд 2,Код: 50190в,60.053188,30.447220
Мурино Скандинавский проезд 4к1,Арка: 60250,60.053103,30.448361
Мурино Скандинавский проезд 8к1,Код: 81125в,60.053521,30.451639
Мурино Скандинавский проезд 8к2,Арка: 82007 Код: 82095 82015 82002,60.053256,30.450561
Мурино бульвар Менделеева 4 п4,Код: #2013,60.053292,30.435075
Мурино бульвар Менделеева 7к1 п1,Код: #5992,60.051661,30.430870
Мурино пр Авиаторов Балтики 13 п1,Код: #301,60.056773,30.441668
Мурино пр Авиаторов Балтики 13 п5,Код: #0001,60.056211,30.440411
Мурино пр Авиаторов Балтики 15,Арка: #0003 Код: #0001,60.057595,30.442243
Мурино пр Авиаторов Балтики 15 п1,Арка: *#0001 Код: #0001#,60.057388,30.442054
Мурино пр Авиаторов Балтики 15 п2,Код: в0102в,60.057810,30.442135
Мурино пр Авиаторов Балтики 17 п1,Код: в0102в,60.058430,30.442737
Мурино пр Авиаторов Балтики 3,Код: в4321 Код: #4321,60.049959,30.435003
Мурино пр Авиаторов Балтики 31 п1,Код: в13121в,60.069589,30.450139
Мурино пр Авиаторов Балтики 31 п2,Код: в13121в,60.069899,30.450220
Мурино пр Авиаторов Балтики 9к3 п2,Код: 9в3,60.053898,30.437913
Мурино ул Екатерининская 22к1,Арка: 10611,60.062346,30.440455
Мурино ул Екатерининская 8к1,Арка: *#4230 Код: #4230,60.057770,30.436745
Мурино ул Оборонная 8,Код: #423,60.046320,30.465509
Мурино ул Шоссе В Лаврики 42 п1,Код: в9876,60.053063,30.453077
Мурино ул Шоссе В Лаврики 42 п2,Код: в9876,60.052919,30.452960
Мурино ул Шоссе В Лаврики 74к2,Арка: 2#46,60.062000,30.457775
Мурино ул Шоссе В Лаврики 74к2 п1,Арка: 2#135,60.062027,30.457613
Мурино ул Шоссе В Лаврики 83,Код: #9177,60.063235,30.458395
Мурино ул Шоссе В Лаврики 87 п1,Код: 87,60.065943,30.457020
Мурино ул Шоссе в Лаврики 33 п1,Код: 0в228,60.052101,30.455089
Мурино ул Шоссе в Лаврики 74к1 п1,Код: 1в96 1в68 1в8,60.061637,30.457218
Мурино ул Шоссе в Лаврики 74к2 п1,Код: 2в34,60.062027,30.457613
Мурино ул Шоссе в Лаврики 74к3 п1,Код: 3в129,60.062418,30.458000
Мурино ул Шувалова 22к3 п1,Арка: 1#137,60.059643,30.433359
Мурино ул Шувалова 25к2 п1,Код: #0000#,60.064425,30.432137
Санкт-Петербург 1-й Верхний пер 10а2,Арка: 21,60.057693,30.382676
Санкт-Петербург 1-й Муринский пр 17 п1,Код: 67в890 67#890,59.989292,30.344273
Санкт-Петербург 1-й Предпортовый проезд 11 п1,Код: в0011в,59.843860,30.301172
Санкт-Петербург 1-й Предпортовый проезд 11 п2,Арка: в0011в Код: 3219в219в,59.843471,30.301702
Санкт-Петербург 1-й Предпортовый проезд 11ке п26,Код: 3260,59.843711,30.301549
Санкт-Петербург 1-й Предпортовый проезд 11ки,Код: 3332в,59.843711,30.301549
Санкт-Петербург 1-й Предпортовый проезд 13 п3,Код: в0011,59.842920,30.301935
Санкт-Петербург 1-й Предпортовый проезд 13 п5,Код: в0011в,59.842712,30.303579
Санкт-Петербург 1-й Предпортовый проезд 13 п6,Арка: в0011в Код: #0011#,59.842309,30.302780
Санкт-Петербург 1-й Предпортовый проезд 13 п7,Код: в0011в,59.842038,30.302160
Санкт-Петербург 1-й Предпортовый проезд 15,Код: #6965#,59.841934,30.303615
Санкт-Петербург 1-й Предпортовый проезд 15 п5,Код: #6956#,59.841667,30.303983
Санкт-Петербург 1-й Рабфаковский пер 3 п2,Код: 2в53 2в94 2в47 2#94,59.857884,30.471079
Санкт-Петербург 1-й Рабфаковский пер 3 п3,Арка: 3#158 Код: 3в191191 3в191,59.857694,30.470917
Санкт-Петербург 1-й Рабфаковский пер 3 п4,Код: 4в286,59.857400,30.470720
Санкт-Петербург 1-й Рабфаковский пер 3 п5,Код: 5в367 5*348 5в396,59.857201,30.470612
Санкт-Петербург 1-й Рабфаковский пер 4 п2,Код: в21в4633,59.858236,30.473415
Санкт-Петербург 1-й Рабфаковский пер 4 п4,Код: в53в4633,59.858304,30.472750
Санкт-Петербург 1-й Рабфаковский пер 6,Арка: #3322 Код: #0601 #1100,59.858132,30.474996
Санкт-Петербург 1-й Рабфаковский пер 6 п1,Код: #0601 #7766 #0601,59.858182,30.474367
Санкт-Петербург 1-й Рабфаковский пер 6 п2,Код: #6655 #6655,59.858186,30.474618
Санкт-Петербург 1-й Рабфаковский пер 6 п3,Код: #5544,59.858191,30.474870
Санкт-Петербург 1-й Рабфаковский пер 6 п5,Код: #3322 #3322,59.858218,30.475382
Санкт-Петербург 1-й Рабфаковский пер 6 п7,Арка: #*#1100 Код: #1100,59.858250,30.475786
Санкт-Петербург 1-я Советская ул 12,Арка: #1601,59.931071,30.365087
Санкт-Петербург 1-я Советская ул 4 п4,Код: 12#345,59.931878,30.363021
Санкт-Петербург 1-я Утиная ул 28,Код: #2805,60.033931,30.299627
Санкт-Петербург 1-я Утиная ул 28 п1,Код: 7в426,60.034200,30.299833
Санкт-Петербург 1-я Утиная ул 28 п13/1,Код: 3в248,60.034155,30.298611
Санкт-Петербург 1-я Утиная ул 28 п14,Код: 4в305,60.033692,30.298288
Санкт-Петербург 1-я Утиная ул 28 п16,Арка: 6#346,60.033571,30.299070
Санкт-Петербург 1-я Утиная ул 28 п17,Код: 7в394,60.033940,30.299402
Санкт-Петербург 1-я Утиная ул 28 п5,Код: #2805,60.034618,30.298288
Санкт-Петербург 1-я Утиная ул 28 п7,Код: 7в408,Санкт-Петербург 1-я Утиная ул 28 п7
Санкт-Петербург 1-я л Васильевского острова 20 п8,Код: *#1982,59.941912,30.288874
Санкт-Петербург 1-я л Васильевского острова 20б п3,Арка: #1982 Код: #1982,59.941962,30.289538
Санкт-Петербург 1-я л Васильевского острова 24,Код: 32,59.942507,30.288991
Санкт-Петербург 1-я л Васильевского острова 32,Арка: *325#,59.943453,30.287948
Санкт-Петербург 1-я л Васильевского острова 32 п3,Код: *325#,59.943399,30.287320
Санкт-Петербург 1-я л Васильевского острова 32в,Арка: *325#,59.943079,30.287329
Санкт-Петербург 1-я л Васильевского острова 34,Арка: 3670 Код: 3670,59.943760,30.287607
Санкт-Петербург 1-я л Васильевского острова 38,Арка: 1950,59.944350,30.286915
Санкт-Петербург 1-я л Васильевского острова 46,Арка: 9874 Код: 9874в,59.945508,30.285568
Санкт-Петербург 1-я л Васильевского острова 48 п1,Код: #1910,59.945720,30.285478
Санкт-Петербург 1-я л Васильевского острова 48 п2,Код: #1910,59.945608,30.285029
Санкт-Петербург 1-я л Васильевского острова 54,Арка: 379 Код: 397,59.946833,30.283996
Санкт-Петербург 1-я л Васильевского острова 54в,Арка: 379,59.946622,30.283232
Санкт-Петербург 10-я Красноармейская ул 4 п1,Код: в4230в423,59.912783,30.305268
Санкт-Петербург 10-я Красноармейская ул 6 п1,Код: #246 #4230,59.912770,30.304585
Санкт-Петербург 10-я Советская ул 1-3,Код: 02008,59.937418,30.378023
Санкт-Петербург 10-я Советская ул 14,Код: #1390,59.936422,30.381813
Санкт-Петербург 10-я Советская ул 15/27,Код: 24#719,59.936291,30.381032
Санкт-Петербург 10-я Советская ул 15/27 п1,Код: 24в719,59.936399,30.381050
Санкт-Петербург 10-я Советская ул 16,Арка: 2019,59.936237,30.382272
Санкт-Петербург 10-я Советская ул 17 п1,Код: #1234,59.936251,30.381418
Санкт-Петербург 10-я л Васильевского острова 1/15,Арка: 347 Код: #2945,59.935683,30.280897
Санкт-Петербург 10-я л Васильевского острова 15б,Арка: 237,59.939758,30.276163
Санкт-Петербург 10-я л Васильевского острова 29,Арка: 3670# Код: #2901,59.942205,30.273324
Санкт-Петербург 10-я л Васильевского острова 29 п1,Код: #3670,59.942164,30.273531
Санкт-Петербург 10-я л Васильевского острова 29 п2,Арка: 3670#в Код: #1837,59.942322,30.273342
Санкт-Петербург 10-я л Васильевского острова 39 п1,Код: #7865,59.943773,30.271357
Санкт-Петербург 10-я л Васильевского острова 39 п5,Код: 126,59.944066,30.272093
Санкт-Петербург 10-я л Васильевского острова 41,Код: 3457,59.944089,30.271159
Санкт-Петербург 10-я л Васильевского острова 45,Код: #9977,59.944769,30.271042
Санкт-Петербург 10-я л Васильевского острова 45 п1,Код: #9977,59.944841,30.270782
Санкт-Петербург 10-я л Васильевского острова 45 п2,Код: #9977,59.944796,30.270845
Санкт-Петербург 11-я Красноармейская ул 2б п1,Арка: 1981# 1981#в,59.912057,30.306166
Санкт-Петербург 11-я Красноармейская ул 5/13,Код: 4015#,59.912436,30.305079
Санкт-Петербург 11-я Красноармейская ул 5/13 п1,Код: 4015#,59.912436,30.305079
Санкт-Петербург 11-я л Васильевского острова 14/39,Код: #1439,59.938166,30.277196
Санкт-Петербург 11-я л Васильевского острова 14/39 п3,Код: #1439,59.938130,30.276755
Санкт-Петербург 11-я л Васильевского острова 14/39 п5,Код: #1439,59.937991,30.276737
Санкт-Петербург 11-я л Васильевского острова 16Б,Код: #423 Арка: #1439,59.938387,30.276351
Санкт-Петербург 11-я л Васильевского острова 20,Арка: 239 Код: 329,59.939077,30.276064
Санкт-Петербург 11-я л Васильевского острова 22,Арка: *1917# Код: #1221,59.939374,30.275776
Санкт-Петербург 11-я л Васильевского острова 28 п1,Код: 28в928,59.940636,30.274456
Санкт-Петербург 11-я л Васильевского острова 30 п1,Код: 55в8855,59.940857,30.274204
Санкт-Петербург 11-я л Васильевского острова 30 п3,Арка: 4857# Код: 157,59.940654,30.273827
Санкт-Петербург 11-я л Васильевского острова 34/47,Арка: 2602* Код: *8927# 8927#,59.941808,30.272893
Санкт-Петербург 11-я л Васильевского острова 40,Код: 7890#,59.942547,30.272156
Санкт-Петербург 11-я л Васильевского острова 40б,Код: 7890#,59.942543,30.271446
Санкт-Петербург 11-я л Васильевского острова 44,Арка: 11*44* 1144* Код: 1144*,59.943223,30.271267
Санкт-Петербург 11-я л Васильевского острова 44 п2,Код: #1929,59.943413,30.271213
Санкт-Петербург 11-я л Васильевского острова 44 п6,Арка: 1144*,59.943124,30.270647
Санкт-Петербург 11-я л Васильевского острова 46 п3,Арка: *6411#,59.943327,30.270413
Санкт-Петербург 11-я л Васильевского острова 48,Код: #9633,59.943728,30.270683
Санкт-Петербург 11-я л Васильевского острова 60 п1,Код: #7087 #7087,59.944873,30.269524
Санкт-Петербург 12-я Красноармейская 5 п1,Код: 37#982,59.911705,30.305295
Санкт-Петербург 12-я Красноармейская ул 1 п4,Арка: 179,59.911850,30.306373
Санкт-Петербург 12-я Красноармейская ул 12 п2,Код: #9397,59.911281,30.303534
Санкт-Петербург 12-я Красноармейская ул 16г п1,Арка: 117в,59.910974,30.302546
Санкт-Петербург 12-я Красноармейская ул 16г п2,Арка: 107,59.910889,30.302555
Санкт-Петербург 12-я Красноармейская ул 21 п6,Код: #2015,59.911642,30.299842
Санкт-Петербург 12-я Красноармейская ул 21в п1,Арка: #2015,59.911796,30.300004
Санкт-Петербург 12-я Красноармейская ул 21в п6,Код: #2015,59.911782,30.299932
Санкт-Петербург 12-я Красноармейская ул 29,Код: 2708в,59.911615,30.296267
Санкт-Петербург 12-я Красноармейская ул 3 п3,Арка: *1981#,59.911854,30.306076
Санкт-Петербург 12-я Красноармейская ул 5 п1,Код: 37в982,59.911705,30.305295
Санкт-Петербург 12-я Красноармейская ул 7,Арка: 721,59.911705,30.304657
Санкт-Петербург 12-я Красноармейская ул 8 п2,Код: #7785,59.911466,30.305142
Санкт-Петербург 12-я л Васильевского острова 11 п1,Код: #9504,59.938189,30.274456
Санкт-Петербург 12-я л Васильевского острова 13,Код: #2022,59.938482,30.274276
Санкт-Петербург 12-я л Васильевского острова 15 п3,Код: #2021,59.939009,30.274528
Санкт-Петербург 12-я л Васильевского острова 19,Арка: #1234 *#1234 Код: 138,59.939135,30.273522
Санкт-Петербург 12-я л Васильевского острова 19 п2,Арка: #1234,59.939293,30.273827
Санкт-Петербург 12-я л Васильевского острова 19 п4,Код: #1234,59.939410,30.274294
Санкт-Петербург 12-я л Васильевского острова 31 п2,Код: #1231,59.941759,30.270315
Санкт-Петербург 12-я л Васильевского острова 33,Код: *#1233,59.941935,30.270279
Санкт-Петербург 12-я л Васильевского острова 35 п2,Код: *#6587,59.942363,30.269605
Санкт-Петербург 12-я л Васильевского острова 37б,Арка: 19170в Код: #1360,59.942962,30.270153
Санкт-Петербург 12-я л Васильевского острова 53,Код: 81089,59.946626,30.264826
Санкт-Петербург 13-я Красноармейская ул 19 п1,Арка: 12#345 Код: 12в345 12#345 12#345,59.915323,30.298540
Санкт-Петербург 13-я Красноармейская ул 21,Арка: #5080 Код: *#5080,59.915242,30.298171
Санкт-Петербург 13-я Красноармейская ул 22 п1,Арка: #4230 Код: #1478,59.915030,30.299932
Санкт-Петербург 13-я Красноармейская ул 22 п2,Код: #1478,59.914822,30.300058
Санкт-Петербург 13-я Красноармейская ул 24,Арка: *267464#,59.914949,30.299573
Санкт-Петербург 13-я Красноармейская ул 6 п1,Код: #789 и 2,59.915080,30.304208
Санкт-Петербург 13-я л Васильевского острова 12 п1,Код: #4230в,59.935701,30.276414
Санкт-Петербург 13-я л Васильевского острова 18 п1,Код: #1813,59.937761,30.274168
Санкт-Петербург 13-я л Васильевского острова 18в,Код: #1813,59.937860,30.273261
Санкт-Петербург 13-я л Васильевского острова 18в п2,Код: #1813,59.937878,30.273468
Санкт-Петербург 13-я л Васильевского острова 2/19 п6,Код: 12#345,59.934565,30.276190
Санкт-Петербург 13-я л Васильевского острова 30 п4,Арка: в50в5000в,59.939591,30.272012
Санкт-Петербург 13-я л Васильевского острова 32,Арка: #0528в,59.939929,30.271761
Санкт-Петербург 13-я л Васильевского острова 36 п1,Код: 1в123,59.940321,30.270871
Санкт-Петербург 13-я л Васильевского острова 46 п2,Арка: 3468#в Код: #3468,59.942376,30.268760
Санкт-Петербург 13-я л Васильевского острова 46 п4,Арка: 3468#,59.942322,30.269111
Санкт-Петербург 13-я л Васильевского острова 46 п5,Арка: 3468#,59.942137,30.269030
Санкт-Петербург 13-я л Васильевского острова 64/39 п5,Код: 12в345 12#345,59.944774,30.265643
Санкт-Петербург 14-я л Васильевского острова 11/38,Код: 150,59.935872,30.273890
Санкт-Петербург 14-я л Васильевского острова 21 п5,Код: #4230,59.937955,30.272587
Санкт-Петербург 14-я л Васильевского острова 29,Код: #4230,59.938595,30.270836
Санкт-Петербург 14-я л Васильевского острова 35,Код: 33,59.939392,30.269874
Санкт-Петербург 14-я л Васильевского острова 45,Код: #4230,59.940952,30.268015
Санкт-Петербург 14-я л Васильевского острова 75 п3,Арка: 3457 Код: 197,59.944377,30.264044
Санкт-Петербург 14-я л Васильевского острова 9,Код: #423,59.935511,30.274276
Санкт-Петербург 15-я л Васильевского острова 32,Арка: #1532,59.939167,30.269272
Санкт-Петербург 15-я л Васильевского острова 32 п1,Арка: #1532,59.938856,30.269461
Санкт-Петербург 15-я л Васильевского острова 32 п2,Арка: *#1532,59.938987,30.269335
Санкт-Петербург 15-я л Васильевского острова 32 п3,Арка: #1532,59.939172,30.269129
Санкт-Петербург 15-я л Васильевского острова 44 п1,Код: #1234,59.941344,30.266856
Санкт-Петербург 15-я л Васильевского острова 46,Арка: 1937,59.941344,30.266030
Санкт-Петербург 15-я л Васильевского острова 48,Арка: 1937,59.941642,30.266308
Санкт-Петербург 15-я л Васильевского острова 48 п1,Арка: 1937в,59.941691,30.266425
Санкт-Петербург 15-я л Васильевского острова 48 п3,Арка: 1937,59.941642,30.266308
Санкт-Петербург 15-я л Васильевского острова 60,Арка: 1560,59.942989,30.264754
Санкт-Петербург 15-я л Васильевского острова 60 п1,Код: 1560,59.942949,30.264646
Санкт-Петербург 15-я л Васильевского острова 72 п5,Арка: 8962200,59.944621,30.262885
